,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_1,5.390310138864152e-06,1.4723896242685443e-06,2.2797677203811876e-07,1.9006919264793396,1.5116224722078188e-05,0.056973076052963735,3.6018499969259223e-07,1.3310669004917144
priorregion1_spot_2,0.0001595186062331777,9.066460324902437e-06,4.96093201718395e-07,0.2635327696800232,1.887330949306488,0.9546129822731018,4.032980064039294e-06,0.42528683245182036
priorregion1_spot_3,2.6838336086854047e-08,5.505571643027452e-09,7.753415509625939e-09,0.10219269655644894,0.00019252829370088875,0.44912364780902864,3.7166447031111722e-09,1.3104025997634496e-08
priorregion1_spot_4,3.495537967523887e-07,3.1431410576487904e-07,2.5253828184190753e-08,0.12288277372717858,0.5432918220758438,0.11909217499196528,1.1469550997844635e-07,0.20014116987586023
priorregion1_spot_5,6.216724614205305e-05,7.921189626358682e-06,4.703499556057977e-07,0.26911499053239823,1.3477848649024964,1.2998107075691223,1.4234392392609151e-05,1.1278533637523651
priorregion1_spot_6,3.1709227550891233e-05,6.654190337940236e-06,1.2078479301180778e-06,0.5108994275331498,1.3092331886291504,0.590140050649643,3.119370728654758e-06,0.8850920796394348
priorregion1_spot_7,1.5488998656110197e-06,2.3286290229407314e-07,2.049565637207707e-08,0.5192542493343353,0.21958066374063492,0.7493149936199188,2.2619711170790427e-08,0.05465839579701424
priorregion1_spot_8,5.255939754533756e-06,0.0006647227448411286,5.3452068371484526e-08,0.0702796470373869,0.5058464527130128,4.919913794765308e-06,0.000517448820755817,0.15706631392240525
priorregion1_spot_9,0.002645298652350903,3.117671831205371e-05,4.5565199258135196e-07,0.7151264280080796,2.1556421756744384,0.8896148055791855,2.7864988965120574e-06,0.28961986154317854
priorregion1_spot_10,5.666203861665054e-08,4.965559199376912e-08,1.667936373905832e-07,0.1701102778315544,0.00020176228135824204,2.0999358625317656e-07,2.030071035719061e-08,0.12096397839486599
priorregion1_spot_11,1.7063094048808131e-06,8.172777654635867e-08,7.204588860076911e-06,0.19340540021657943,0.15153688192367554,0.550547981262207,5.4225784333539194e-05,0.04584422782063484
priorregion1_spot_12,0.00046734163624932994,1.870743080871762e-05,8.858163091929329e-08,0.22319512367248534,0.7366277873516083,0.6159647703170776,1.5473240807750702e-06,2.1334633946418764
priorregion1_spot_13,2.523140415178205e-06,1.492934586622141e-06,1.1283592815658494e-08,0.5624269843101501,0.005088786198757589,0.3491703659296036,0.00794965005479753,0.1627277098596096
priorregion1_spot_14,1.300760322919814e-06,5.214749148763076e-06,1.8992978652931926e-06,0.22844056636095048,0.004768977174535394,0.9589511334896088,1.9438467457888467e-08,0.1346955753862858
priorregion1_spot_15,2.3756564093702082e-08,4.574662737510949e-09,9.093025488127183e-09,2.758597785756933e-08,3.463172106421553e-05,0.19017036855220795,3.1338582617834736e-09,0.0339977340772748
priorregion1_spot_16,8.97675323585645e-07,5.433192598047754e-07,4.1864408194669524e-05,1.943039960679016e-05,3.960796930186916e-05,0.18099539279937743,8.716047172896425e-09,1.261223953962326
priorregion1_spot_17,5.687572847818956e-05,1.6887488072825365e-06,1.867669279818074e-05,0.976461136341095,0.2347102917730808,0.8776864737272262,5.614589599645115e-06,0.1457468628883362
priorregion1_spot_18,1.720296377243358e-05,4.51642181360512e-06,4.65692965008202e-05,1.0068515360355377,0.00029844501841580495,0.20383407697081565,3.852062263831613e-06,1.295192164182663
priorregion1_spot_19,1.1506854917797682e-07,4.8115766126954897e-08,2.3314385799722005e-08,1.5018033607816506e-07,0.00012100020867364947,0.36442725658416747,2.120057507326578e-09,0.061988087743520735
priorregion1_spot_20,8.099760947288815e-07,0.0014616383705288172,1.273335072937698e-07,3.9499449258073585e-07,0.013785342127084732,9.116179654711231e-07,9.665333209341043e-08,0.21201640963554383
priorregion1_spot_21,6.85817273193834e-08,2.1584418608000535e-08,4.4989177716558975e-09,1.3261690696708683e-06,9.09019734535832e-05,0.3571241989731788,3.0181107057991596e-09,0.6029505759477615
priorregion1_spot_22,1.8729725148602935e-08,1.3270140453158774e-08,1.6740329034092837e-08,0.3153362423181534,4.255322874087142e-05,0.1459753356873989,2.356057438035464e-09,3.3380635677815464e-08
priorregion1_spot_23,1.3922447578806897e-05,6.447182545343821e-06,3.565629516089076e-08,0.3965630128979683,0.2425050787627697,0.699879413843155,3.9432570417829995e-07,0.41436121314764024
