,q05_spot_factorsAstrocytes,q05_spot_factorsBergmann,q05_spot_factorsChoroid,q05_spot_factorsEndothelial,q05_spot_factorsGranule,q05_spot_factorsMicroglia,q05_spot_factorsOligodendrocytes,q05_spot_factorsPurkinje
priorregion1_spot_24,1.0849952829516952e-07,3.602844657280002e-07,7.502335165554542e-07,2.1754066348075867,0.0002156023430870846,0.5727015852928161,8.486740163959895e-08,2.356783500090387e-06
priorregion1_spot_25,1.7962483798328322e-05,2.5257918537135994e-06,2.7236155119680914e-06,0.7418535232543946,6.6980185010834244e-06,7.130394919840911e-06,1.0541069315195274e-07,2.081723988056183
priorregion1_spot_26,2.953730509034358e-05,4.026467559015146e-05,1.7680860651125842e-06,0.6676182895898819,0.10565253049135209,0.22271010130643845,0.00035929555015172814,1.3398970842361448
priorregion1_spot_27,1.954015360752237e-05,0.00025331606448162345,2.481177119761924e-07,0.0007352733897278086,0.0010668384085875005,6.171516224640073e-06,4.6877632975395066e-08,1.6944376289844514
priorregion1_spot_28,1.1188344785750815e-06,1.886807268647317e-07,3.6958439864065447e-08,0.18736186996102333,0.17229752987623215,0.25470892488956454,0.0002167794977140147,0.13598312214016917
priorregion1_spot_29,0.00010584433475742116,4.941091037835577e-06,3.35429808373533e-08,0.07121651582419872,0.1181459803134203,0.520973214507103,4.70760076609622e-07,2.1855536699295044
priorregion1_spot_30,2.516375707273255e-05,1.364120280413772e-05,1.0219299326763576e-07,0.5881115674972534,1.512631469964981,1.7162442624568939,3.0486745799862547e-05,0.23502865582704544
priorregion1_spot_31,0.0004259629873558879,7.2153866540247694e-06,3.060248250363884e-08,0.22576907426118853,0.20246991217136384,0.31618844270706176,2.5315646439594277e-06,0.2723902493715286
priorregion1_spot_32,3.3766195087991955e-06,2.63152910520148e-05,1.7532499363426277e-08,0.29250949025154116,0.00020743985514855013,0.16851422265172003,3.7977319244930643e-08,0.5725901037454606
priorregion1_spot_33,5.955012165941299e-05,0.0017035483848303558,1.7915835854864783e-07,0.196173345297575,0.49397291243076324,0.6800443917512893,0.0018267862033098936,2.0916653156280516
priorregion1_spot_34,6.209193657014111e-08,4.5973219187089856e-08,3.5238861784137046e-08,2.5503604348386946e-07,0.0006571416277438403,0.2774529367685318,4.15400434050639e-09,0.17866761162877082
priorregion1_spot_35,8.966435160573383e-07,4.881686550106679e-07,2.256669962008573e-08,0.07561104595661162,0.6714816957712173,0.1099162682890892,1.5052488492983683e-06,0.7170879930257797
priorregion1_spot_36,6.365330659718893e-06,9.598775960739658e-07,1.3296979830101919e-06,0.20998680517077445,0.41560547351837157,1.4916968286037446,3.2410508481461876e-07,0.2293757900595665
priorregion1_spot_37,9.014458601086518e-06,1.165319986284885e-06,5.746145689045079e-07,0.13561167344450953,0.08071301467716693,0.2693513035774231,1.8898596536587324e-07,1.3116509437561035
priorregion1_spot_38,6.153830163384555e-05,7.186998254837818e-06,1.2364944934617485e-08,0.00012255047768121587,0.15157721340656283,0.0562417721375823,2.0224423587933418e-05,2.0683260321617127
priorregion1_spot_39,1.3254897612569041e-05,7.193392491444684e-07,1.3530213172074923e-08,0.24113556519150733,1.4384644508361817,0.27531517893075946,2.2204944158943365e-07,3.5188407423447646e-07
priorregion1_spot_40,6.528552853524161e-06,3.500900802464458e-05,3.917006594633677e-08,1.8349108278751374,0.08585957512259484,0.5980496227741241,2.943287933376837e-08,0.06849802285432816
priorregion1_spot_41,4.408338583061777e-07,7.740282299550927e-08,1.4252065927422565e-08,3.600339568947674e-05,1.4471022677753356e-05,3.3983461520392663e-07,0.0001322049938607961,0.9009590685367584
priorregion1_spot_42,5.66625095643758e-07,2.2696640371577815e-07,2.8612467062316682e-08,1.3635578095912932,0.2574766084551811,0.6964030146598815,2.5827462621919036e-07,2.4447737359878374e-05
priorregion1_spot_43,4.44737017346597e-07,5.738393618059945e-08,2.0922287990998713e-08,0.4552632555365562,0.09087324999272824,4.455956377569237e-06,9.964417948538085e-08,0.07222738415002823
priorregion1_spot_44,3.237084570173465e-06,1.027383885343625e-06,8.855282995767767e-09,0.27884328812360765,0.5080759525299072,1.029383009672165,2.66372074975152e-06,0.09343061000108718
priorregion1_spot_45,1.3578154357674066e-05,0.0011598612880334258,7.837798075343017e-05,0.5517735213041305,1.5395362197523355e-05,0.0005332463129889219,2.965217063888304e-07,0.9573657900094986
priorregion1_spot_46,2.8179334731248672e-05,1.7157685851998396e-05,8.171636153520012e-07,8.541418401364355e-06,1.3551115095615387,0.8002699881792068,3.861602579036116e-07,0.12244942598044872
priorregion1_spot_47,1.3801561544823926e-05,1.5625753860604165e-06,1.8172293749785243e-07,0.7063933908939362,4.8330380013794636e-05,9.322777896159097e-06,6.272780979088566e-08,2.3430402755737303
priorregion1_spot_48,7.267782279996027e-06,1.514511211553327e-06,5.297171448148674e-08,9.912157947837841e-05,0.0027323378832079474,1.0422377943992613,2.3348095936626124e-07,1.5210711181163787
priorregion1_spot_49,0.0003696525149280205,4.9733861715139944e-06,7.885593831247207e-08,0.00010378797851444688,0.44793148934841154,0.518682211637497,6.983526327530855e-05,2.010086786746979
priorregion1_spot_50,3.1564804601202925e-07,8.000647717665288e-08,8.407791396436436e-09,0.4296099811792374,0.0010950312716886403,0.6494293689727783,1.491465603464803e-07,0.17998767271637917
priorregion1_spot_51,0.00019044239088543692,0.0003830592686426826,1.1566742976754084e-07,0.23085256218910216,0.7830740243196488,0.45903100818395615,1.8169669999679172e-06,2.351745939254761
priorregion1_spot_52,0.0001646234122745227,0.008201846294105053,2.3392356993667817e-07,0.12720981389284133,0.002789099409710616,0.1884813003242016,9.435529676693477e-07,3.8340441107749936
priorregion1_spot_53,1.1717429924829049e-05,2.034021667896013e-06,1.3093088284676924e-06,0.6265350013971329,0.07454815730452537,0.8666396737098694,7.250739770370274e-07,1.917395716905594
priorregion1_spot_54,2.0374743144202513e-06,1.113277869535523e-06,3.2031423558009923e-08,0.3733676642179489,0.01678922371938825,1.026297038793564,0.005678837187588215,0.06605100855231284
priorregion1_spot_55,6.926370836879415e-08,1.5030418110129064e-08,9.855852267648404e-09,0.5609373480081558,1.4803506189764448e-06,1.3781024037484714e-07,6.67859938463522e-09,0.06110583376139402
priorregion1_spot_56,1.6821899464503076e-06,1.7784186525204864e-06,1.93186087571462e-08,4.018540184915765e-05,0.18475319743156435,0.1667184166610241,4.145841230638325e-05,1.2711797416210173
priorregion1_spot_57,4.352700173626545e-08,9.363058683931058e-09,3.2538969740869564e-09,5.574197015079109e-08,0.06303954124450684,0.5057388305664062,1.2877167776537135e-08,0.0009151863778242841
priorregion1_spot_58,1.3050793086222257e-06,1.0834791453362413e-06,4.98301533369272e-08,0.4519414484500885,0.2486049197614193,0.8036365509033203,5.837948192493059e-05,0.2524095132946968
priorregion1_spot_59,5.244195449449763e-07,3.4714315688688657e-06,5.389086918938802e-08,0.8790906608104706,0.0005177152896067127,0.6889952450990676,0.007572823879308999,0.05367806386202574
priorregion1_spot_60,6.677059241155803e-06,2.925614526247955e-05,4.369207772469964e-06,0.3579720079898834,6.399737526407989e-06,1.4006747278472175e-06,1.5975995282246914e-08,0.785281452536583
priorregion1_spot_61,1.6663989583776128e-07,3.945044522168928e-08,1.5900600836005196e-08,0.18227878287434576,1.822683179852902e-06,7.032259397021791e-08,1.7625611281602003e-08,0.42189748734235766
priorregion1_spot_62,8.967895354317079e-07,4.090659174948996e-07,4.132748401275422e-08,0.21442947760224343,0.238588385283947,1.046161413192749,2.2485361768076474e-07,0.3820217579603195
priorregion1_spot_63,2.855331331375055e-07,3.686430112281869e-08,3.036719782301134e-08,1.3904225824035165e-07,0.000142688442429062,0.4645132660865784,8.472519397173529e-09,0.10349832884967326
priorregion1_spot_64,7.205947003967595e-05,2.5277766326325946e-05,3.4410532556705674e-08,0.2592618986964226,1.2416512429714204,0.4434919908642769,1.4367672690696057e-06,0.26631818413734437
priorregion1_spot_65,3.472381231404143e-05,7.591096596115677e-06,1.0533284111602371e-07,0.00012910406658193097,1.609441739320755,1.10623397231102,1.6671498178766343e-05,2.1030869007110593
priorregion1_spot_66,1.8130711367803088e-07,1.6170016863270576e-07,1.4642261092490117e-08,7.706196640810958e-08,0.24632787853479385,0.15830072686076166,7.284400624030241e-07,0.06869325004518032
priorregion1_spot_67,3.5628787190944426e-05,1.5952316971379332e-05,0.0002107614702254068,0.1496697537600994,1.257213479280472,0.8385881036520004,1.0271157975694222e-06,1.2646626114845276
priorregion1_spot_68,4.5161618800193536e-08,6.069051550205984e-09,3.2615109279987565e-09,1.195230328043806e-08,8.682187035446987e-05,0.20531188771128656,1.6113969714126599e-09,0.04770256318151951
priorregion1_spot_69,1.5160173597905669e-05,8.119921375282502e-07,2.0066968772880503e-06,0.00013972642336739226,0.18865237906575205,0.6438459306955338,1.6886740581867345e-06,1.2006557941436768
priorregion1_spot_70,1.1122774834504412e-08,1.1504622809965781e-08,5.514429091135753e-09,2.989687652998896e-08,2.6481543773115846e-05,0.10597969368100166,3.703686068945444e-09,0.03800840880721808
priorregion1_spot_71,3.600882564569474e-06,3.1905191804071366e-07,1.0868844491085383e-08,3.3710971649725255e-07,0.0003679146029753611,0.4572649672627449,8.868303957854097e-09,0.12145015448331832
priorregion1_spot_72,2.813151036207273e-06,4.045302034683118e-06,6.705360746650513e-08,0.6610130250453948,0.017771752551198006,0.22950780615210534,6.227837019423532e-08,0.0010347444564104082
priorregion1_spot_73,2.0687017013187867e-06,0.00010431815790070686,0.0001414387887052726,1.1433562994003295,0.0011482176138088106,0.6931238234043121,6.876298535019033e-08,0.11916433721780777
priorregion1_spot_74,4.688386457019079e-06,1.2368045133825945e-06,9.870975326009557e-08,0.11278181374073029,0.5570244669914245,1.4392625093460083,0.006317436951212585,0.32030390650033946
priorregion1_spot_75,0.00012743793631670998,0.00022626879144809208,3.408225052226044e-06,0.9632973790168762,0.3683243036270141,0.663078573346138,0.003731657250318676,2.46576110124588
priorregion1_spot_76,2.058448644675082e-05,1.5597539004374994e-05,3.8548043050923304e-07,0.2242355890572071,1.3764601826667786,1.2958467304706573,0.0015212765312753618,0.0018490106624085459
priorregion1_spot_77,5.053842760389671e-05,2.0782428873644675e-05,6.269384549284495e-08,0.00021999180244165474,1.5665910303592683,1.2089196979999541,3.3699593700475818e-06,0.6680203020572663
priorregion1_spot_78,1.851576180342818e-05,0.00013924073573434725,9.955467810129904e-08,0.27269290089607234,0.19734334275126456,1.6547992885112761,1.3513700014300412e-05,0.665019890666008
priorregion1_spot_79,2.7801118085335476e-05,1.0546633529884276e-05,2.504794736069016e-06,0.5483180850744247,2.449852848052979,0.7478472411632537,3.6992365676269404e-05,0.9123667120933533
priorregion1_spot_80,8.881289386408752e-06,1.8782200470468524e-06,1.4714628775891471e-06,1.738940179347992,0.0002463736353092827,1.0085628569126128,2.289436952196411e-06,1.5085979580879212
priorregion1_spot_81,9.251832716472565e-06,2.0129542122049315e-06,6.137147721574366e-07,0.055823414027690886,0.0002884138040826656,0.4037586092948914,0.001183233823394403,1.8664233088493347
priorregion1_spot_82,1.9453866855201344e-07,0.005119389994069934,1.916572704985242e-08,0.44724911749362944,3.918811835319502e-05,0.14812520295381545,3.908842160171844e-07,1.874923946161289e-05
priorregion1_spot_83,7.67257337663807e-09,6.140145147881527e-09,4.117212837329021e-09,2.0093979546942367e-08,3.224952142772964e-05,0.2221574254333973,3.4406894888761035e-09,0.058107159845530984
priorregion1_spot_84,2.6052108736962513e-08,4.554163224312902e-09,5.939617464534308e-09,1.6760109800006974e-09,1.2474710592869088e-05,0.2537611871957779,4.6157383470912805e-10,3.150923533201678e-09
priorregion1_spot_85,3.575751705398034e-07,1.6591829634649003e-07,6.634570648422766e-09,2.529762156200377e-07,0.19521555006504057,0.3621263727545738,1.53658460622097e-08,0.1492908865213394
priorregion1_spot_86,1.0478297735971865e-05,5.774518103862648e-06,3.575032820890556e-07,1.7706161499023436,0.5040791988372803,0.74569793343544,8.417606096600139e-07,0.8773882359266281
priorregion1_spot_87,8.946824578970337e-08,8.906472359626606e-08,3.4966547346471094e-08,0.7455952167510986,0.04483896680176258,0.043536127358675,3.0823651542277735e-08,0.0005119271809235215
priorregion1_spot_88,6.180013031098497e-07,1.124602562185828e-07,2.749173937388605e-08,0.5094435602426529,0.0005584402475506067,0.5658783584833145,2.970270331914549e-08,0.35027868300676346
priorregion1_spot_89,1.1348949101375185e-05,6.462563283093914e-06,2.2489255755431258e-07,2.040840220451355,0.00014309556936495938,0.533746713399887,8.840515278052408e-07,1.3508229672908785
priorregion1_spot_90,1.1405432474020928e-07,5.1109651977299114e-08,3.4094384560034995e-08,0.37757833302021027,0.00016819928860059007,0.2755573183298111,0.00019227464581490493,0.04137460272759199
priorregion1_spot_91,5.6043910490188865e-08,1.5362727801004895e-08,5.122464163953567e-09,3.314466169968e-07,0.1685270592570305,0.0002311582342372276,4.3038864383504466e-08,0.4144243776798248
priorregion1_spot_92,4.5062724609579167e-07,1.0710716651374241e-07,8.684626124022543e-07,0.35600118488073346,0.13275108411908149,1.2521755874156952,1.0207678222684537e-07,0.07681740708649158
priorregion1_spot_93,1.0198318065590684e-07,3.520064257855893e-08,6.415014541794051e-09,1.339055899052255e-07,0.9015150636434556,0.24198736846446992,1.3999610075643433e-07,1.117142619477818e-06
priorregion1_spot_94,2.135539739356318e-06,2.0341027379799928e-06,5.541894623206645e-08,0.6045019835233688,0.0002374772302573547,0.23892185688018797,0.001324704725993797,0.6811685472726823
priorregion1_spot_95,6.486645656877954e-06,0.0027124539716169237,0.00010444576109875925,0.005111674824729562,0.00010400985374872107,2.094227284032968e-05,1.2249981011791534e-07,2.4247974634170535
priorregion1_spot_96,5.591209514932417e-06,4.375094977149274e-05,1.4262142258303358e-05,0.7983982354402541,0.0046154671581462026,1.1842480421066284,1.916356914932749e-07,0.1276067353785038
priorregion1_spot_97,0.011350939469411968,1.9681728554132862e-05,4.0364109388235654e-08,0.1837174415588379,0.6698290348052979,0.24661239832639695,7.663359653520274e-08,1.169356755781337e-06
priorregion1_spot_98,0.0001222838691319339,7.21523903735033e-08,3.2428219221003477e-09,0.15033336356282234,2.5890816118590017e-06,3.1269788678400803e-07,5.337906339164533e-09,0.057247974537312986
priorregion1_spot_99,9.77645054263121e-06,2.9175285021665333e-06,4.371755046861381e-08,0.2518750920891762,0.3236020147800446,0.2823861688375473,1.0446459953072917e-06,0.8880693346261977
priorregion1_spot_100,3.069295689783758e-06,0.001188077119877562,2.0072384199210095e-08,1.4455720841884614,4.124054794374388e-06,1.1896849905213003e-07,2.6513954320961377e-08,0.2737329125404358
priorregion1_spot_101,1.4453465695396518e-07,1.0977470275008729e-07,7.348838759746457e-09,6.65959970547192e-07,6.170694882712268e-06,4.142731615530693e-08,0.002635268436279148,0.4514771461486816
priorregion1_spot_102,2.4687147348601004e-08,2.562873104849928e-08,1.6931444157819444e-08,0.381191648542881,1.7181769010221614e-06,8.5601853783146e-08,7.644094734970964e-09,7.701958359973561e-08
priorregion1_spot_103,6.286109987740929e-06,4.642859221348771e-06,2.405135299810013e-08,1.5475034773349763,0.20096053779125214,0.9586926490068436,0.002267333480995148,0.10235963910818101
priorregion1_spot_104,1.4234807213142633e-05,1.1665297279250808e-06,2.536203012937222e-07,0.19225774481892585,0.0013302058796398342,0.9419504880905152,1.0232913041363645e-06,1.6763261318206786
priorregion1_spot_105,3.794553103944054e-05,4.8409240434921225e-06,4.087975230504526e-05,0.32169395238161086,0.009690571343526244,1.1651672780513764,4.875894001088455e-06,2.7965653896331784
priorregion1_spot_106,0.00014294907232397238,2.4557683218517924e-06,3.5487705751791056e-08,1.8071208119392395,0.11762818768620491,0.8677673637866974,7.099497651097408e-07,0.12611377611756325
priorregion1_spot_107,2.1404837752925235e-06,1.4906252715718439e-06,8.729275116081681e-08,0.2681560769677162,0.09789642579853534,0.18109363913536072,7.273944419239343e-07,0.766582590341568
priorregion1_spot_108,1.6493176929088804e-06,3.7785152358082995e-07,8.456648936672197e-09,0.26242929995059966,9.810462834138888e-05,0.5089908093214035,3.5059457104580362e-06,1.1321773290634154
priorregion1_spot_109,6.136911520115973e-06,1.2772942170613535e-06,6.037120442670131e-07,0.5013458043336868,0.31671480387449263,0.2711106330156326,6.198609366947494e-06,1.610785335302353
priorregion1_spot_110,1.4788716242719602e-07,2.7202043213492293e-07,2.7640624830382875e-05,0.3778727501630783,0.04359240308403969,1.5882530249200501e-06,5.8480860207055234e-05,0.00032571709889452907
priorregion1_spot_111,8.372937509193435e-06,0.004158709407784045,3.152042040710512e-08,0.0011839384795166552,0.42849554866552353,1.373430532217026,0.0006928108166903258,0.6360747218132019
priorregion1_spot_112,1.5326969617035503e-06,2.551662745986505e-07,2.5421881222342793e-08,3.1600656825503396e-06,0.6188365668058395,0.9057168275117874,1.2870240198026295e-07,0.3079891934990883
priorregion1_spot_113,2.032260162820876e-07,1.9812943641284166e-08,9.133606271305438e-09,0.4499643564224243,0.00016102088848128914,0.12206861898303031,4.26184607604796e-09,0.09284216314554214
priorregion1_spot_114,1.7356941316393208e-05,4.8281053295795575e-06,3.1970253803592645e-05,0.7444193869829178,0.0676991555839777,0.2786605030298233,0.0012747556960675866,1.6419781982898711
priorregion1_spot_115,1.2227016327415188e-06,5.115038311487296e-06,2.994241121712094e-08,0.8555774539709091,0.07961017824709415,0.4004376605153084,1.095986249310954e-06,7.647874724625581e-08
priorregion1_spot_116,0.007802044926211238,8.530233426427004e-05,9.825377844663308e-08,0.4285814166069031,0.38468433618545533,1.7512487053871153,0.0009791234944714234,0.04612040892243385
priorregion1_spot_117,1.213415312122379e-05,1.084449081645289e-05,6.885708188519857e-07,0.08341429568827152,0.6311552911996842,0.33393097668886185,3.5686573710336237e-06,1.4403648316860198
priorregion1_spot_118,1.0663377315722757e-05,1.9321518902870593e-05,5.811897631247121e-06,9.779646752576811e-05,0.0005755686783231796,0.13889878690242768,4.986238053561465e-08,2.1187280893325804
priorregion1_spot_119,1.601996011402207e-08,1.0139688244592549e-08,1.6137265390625548e-08,0.7345993489027023,9.836617027758621e-05,0.2240593560039997,9.366507924823966e-09,2.3621557065922618e-08
priorregion1_spot_120,2.5015087956603568e-08,2.6472267666832752e-08,2.6349094905953052e-08,3.985108794068993e-08,0.47766241133213044,0.00021186712183407508,1.4101006229338964e-07,0.056625417433679104
priorregion1_spot_121,1.196875768272321e-07,2.5936966263628845e-08,1.725666631813283e-08,1.7438411532566532e-07,0.0001890039107820485,0.5522763043642044,5.118555423955229e-09,0.1163557969033718
priorregion1_spot_122,0.00010497334660612977,6.844000665751083e-07,2.26017041313753e-05,0.13033684715628624,0.0001411187789926771,0.7414882481098175,9.480489104873872e-09,2.9369319953787e-08
priorregion1_spot_123,7.076143830886394e-08,1.6094003996158788e-08,6.822649561399885e-06,6.268198866621333e-08,0.28878665417432786,0.39569162726402285,2.1248619397340464e-08,4.156455464254805e-08
priorregion1_spot_124,1.1709246155078289e-05,2.429079836474558e-06,9.877899344701291e-07,0.5355079352855683,0.0009225193061865866,0.9624129623174668,1.621828738507247e-06,0.9252781927585602
priorregion1_spot_125,1.8694394952945003e-06,5.029067665418552e-07,9.872179305148166e-08,0.5549480706453324,0.0011391257459763438,0.14661409184336663,1.3457231640146007e-08,0.15431399047374725
priorregion1_spot_126,0.00019730395142687486,0.0014570668980013579,3.104643610640778e-06,0.3554857924580574,0.20393103882670402,0.19909931048750876,3.612613738823711e-06,3.7750139117240904
priorregion1_spot_127,1.1732323628166341e-06,1.1576084091302619e-06,2.516811470343328e-08,0.18128119334578513,0.001814861223101616,0.8306862086057664,1.0752926833390576e-07,0.7789643466472626
priorregion1_spot_128,2.919738770756908e-08,9.636193132323002e-09,7.0742190105832495e-09,1.3668586049675468e-07,0.05886150896549225,2.347569136418315e-07,6.920360142714799e-08,0.3201286777853966
priorregion1_spot_129,2.3027283350529616e-05,4.887293766842049e-06,2.18019832409766e-08,6.31249298749026e-05,1.7290308117866515,0.8591346323490142,1.233538318956562e-06,1.3049298882484437
priorregion1_spot_130,1.7699792624625844e-05,1.8155081363602223e-06,1.7350028347351558e-08,0.3491668775677681,0.010726927872747182,0.0024434842867776755,3.141533795769647e-06,1.4253916442394257
priorregion1_spot_131,1.7962168357144038e-07,1.5841226428392474e-07,8.382148521945964e-08,5.156096199243621e-06,0.00216822522925213,1.3802282571792601,2.380018138126161e-07,0.2546415522694588
priorregion1_spot_132,7.003975988482126e-05,3.605202800827102e-06,3.196056344023646e-08,2.442644917964935,0.002776050684042275,0.5140298396348953,2.660058626702267e-07,0.1935994744300842
priorregion1_spot_133,0.0008486185397487134,1.2306763574088109e-05,5.140744883647131e-06,0.4103666216135025,2.1078548908233645,1.2685745894908906,2.484625556462561e-05,5.925575351284351e-06
priorregion1_spot_134,1.790412115951767e-05,6.301849521150871e-06,2.9278486294970214e-06,0.24824345782399176,0.00013283537409733984,0.9436973631381989,4.673135634902792e-07,2.3590778946876525
priorregion1_spot_135,0.0009141678776359185,5.2667253612526105e-06,1.3229262165737055e-07,0.1552138090133667,0.046852731890976426,0.5634511321783066,0.0026980228256434204,1.3175507724285127
priorregion1_spot_136,2.038411059857026e-06,3.617336915340275e-07,9.652149719840963e-06,1.1366622038622154e-05,0.5228878349065781,0.5329661577939987,2.1275413573107473e-07,1.0787813186645507
priorregion1_spot_137,2.4928898483267403e-06,2.613541346363491e-06,2.0407888712270505e-08,0.19071403592824937,0.19610176011919975,0.003948227106593549,6.682864727736159e-06,1.257737934589386
priorregion1_spot_138,3.1635147252018215e-06,2.114862172675203e-06,2.8996630021538294e-06,4.013223588117398e-06,0.9231655925512314,0.539126244187355,1.2768343640345848e-05,0.13477634117007256
priorregion1_spot_139,5.963681122267417e-08,2.07735324053715e-08,2.0103936471116415e-08,2.894761038874094e-07,0.0002026377223955933,0.3920040503144264,1.619738104752244e-09,0.327531287074089
priorregion1_spot_140,0.00038859723135828975,1.062750889104791e-05,2.2054078030464555e-07,0.00017420902149751784,0.67209994494915,1.1162321388721466,7.444431105341209e-07,1.9656250476837158
priorregion1_spot_141,1.629258213142748e-05,3.872463548759698e-06,7.87816947678266e-08,0.40795787125825883,1.3749349117279053,1.5338630557060242,6.112730898166774e-06,0.0775310106575489
priorregion1_spot_142,5.527556879769691e-07,9.04682252667044e-08,3.6478183318422455e-08,1.7506027560898477e-07,0.19702790305018425,0.4190158128738404,1.5663397601173303e-08,0.0997628677636385
priorregion1_spot_143,1.1233844190883246e-06,1.1989167035153514e-06,2.0807568557046352e-08,6.936387035239023e-06,0.24309441596269607,1.5715738356113433,9.74595417346791e-07,0.19831719622015953
priorregion1_spot_144,2.1192765018440695e-07,2.5174327618060487e-07,8.546005183518446e-08,1.1270262007201382e-06,0.4898895785212517,0.22150725796818735,0.0009187598130665719,0.23117040023207663
priorregion1_spot_145,8.51217705530871e-06,2.025446849529545e-06,2.179319392325851e-06,0.6262131720781327,0.026847913209348914,0.7188070863485336,3.2120600508278584e-07,1.9904125094413758
priorregion1_spot_146,4.117018806937267e-06,1.7330567004592016e-06,2.9019634872895494e-08,0.7531380146741867,0.0143829049076885,0.9713617473840714,1.0459966142661872e-05,0.7060213059186935
